Customer ID,Customer Name,Quantity,Sales,Discount,Profit,returned_numeric,customer_frequency,purchase_speed,Segment,Category,Region,Cluster,Customer_Type
CG-12520,Claire Gute,2,261.96,0.0,41.9136,0,5,3,Consumer,Furniture,South,0,Lookers/Surfers
CG-12520,Claire Gute,3,731.9399999999999,0.0,219.582,0,5,3,Consumer,Furniture,South,0,Lookers/Surfers
DV-13045,Darrin Van Huff,2,14.62,0.0,6.8714,0,9,4,Corporate,Office Supplies,West,0,Lookers/Surfers
SO-20335,Sean O'Donnell,5,957.5775,0.45,-383.03100000000006,0,15,7,Consumer,Furniture,South,0,Lookers/Surfers
SO-20335,Sean O'Donnell,2,22.368,0.2,2.516399999999999,0,15,7,Consumer,Office Supplies,South,0,Lookers/Surfers
BH-11710,Brosina Hoffman,7,48.86,0.0,14.169399999999996,0,24,5,Consumer,Furniture,West,2,Loyal Customers
BH-11710,Brosina Hoffman,4,7.28,0.0,1.9656,0,24,5,Consumer,Office Supplies,West,0,Lookers/Surfers
BH-11710,Brosina Hoffman,6,907.152,0.2,90.71520000000004,0,24,5,Consumer,Technology,West,2,Loyal Customers
BH-11710,Brosina Hoffman,3,18.504,0.2,5.7825,0,24,5,Consumer,Office Supplies,West,0,Lookers/Surfers
BH-11710,Brosina Hoffman,5,114.9,0.0,34.46999999999999,0,24,5,Consumer,Office Supplies,West,0,Lookers/Surfers
BH-11710,Brosina Hoffman,9,1706.1840000000002,0.2,85.3091999999998,0,24,5,Consumer,Furniture,West,2,Loyal Customers
BH-11710,Brosina Hoffman,4,911.424,0.2,68.35680000000002,0,24,5,Consumer,Technology,West,0,Lookers/Surfers
AA-10480,Andrew Allen,3,15.552000000000003,0.2,5.4432,0,12,5,Consumer,Office Supplies,South,0,Lookers/Surfers
IM-15070,Irene Maddox,3,407.97600000000006,0.2,132.5921999999999,0,21,5,Consumer,Office Supplies,West,0,Lookers/Surfers
HP-14815,Harold Pawlan,5,68.80999999999999,0.8,-123.858,0,10,4,Home Office,Office Supplies,Central,0,Lookers/Surfers
HP-14815,Harold Pawlan,3,2.544,0.8,-3.8160000000000016,0,10,4,Home Office,Office Supplies,Central,0,Lookers/Surfers
PK-19075,Pete Kriz,6,665.88,0.0,13.3176,0,25,7,Consumer,Office Supplies,Central,2,Loyal Customers
AG-10270,Alejandro Grove,2,55.5,0.0,9.989999999999997,0,14,2,Consumer,Office Supplies,West,0,Lookers/Surfers
ZD-21925,Zuschuss Donatelli,2,8.56,0.0,2.4824,1,9,5,Consumer,Office Supplies,West,1,Impulse Buyers
ZD-21925,Zuschuss Donatelli,3,213.48,0.2,16.01099999999998,1,9,5,Consumer,Technology,West,1,Impulse Buyers
ZD-21925,Zuschuss Donatelli,4,22.72,0.2,7.383999999999999,1,9,5,Consumer,Office Supplies,West,1,Impulse Buyers
KB-16585,Ken Black,7,19.46,0.0,5.0596,0,23,4,Corporate,Office Supplies,Central,2,Loyal Customers
KB-16585,Ken Black,7,60.34,0.0,15.6884,0,23,4,Corporate,Office Supplies,Central,2,Loyal Customers
SF-20065,Sandra Flanagan,2,71.37199999999999,0.3,-1.0196000000000005,0,9,2,Consumer,Furniture,East,0,Lookers/Surfers
EB-13870,Emily Burns,3,1044.63,0.0,240.2649,0,11,5,Consumer,Furniture,West,0,Lookers/Surfers
EH-13945,Eric Hoffmann,2,11.648,0.2,4.2224,0,17,4,Consumer,Office Supplies,West,0,Lookers/Surfers
EH-13945,Eric Hoffmann,3,90.57,0.0,11.774100000000004,0,17,4,Consumer,Technology,West,0,Lookers/Surfers
TB-21520,Tracy Blumstein,7,3083.4300000000003,0.5,-1665.0522,0,20,4,Consumer,Furniture,East,2,Loyal Customers
TB-21520,Tracy Blumstein,2,9.618000000000002,0.7,-7.0532,0,20,4,Consumer,Office Supplies,East,0,Lookers/Surfers
TB-21520,Tracy Blumstein,3,124.20000000000002,0.2,15.524999999999991,0,20,4,Consumer,Furniture,East,0,Lookers/Surfers
TB-21520,Tracy Blumstein,2,3.264,0.2,1.1015999999999997,0,20,4,Consumer,Office Supplies,East,0,Lookers/Surfers
TB-21520,Tracy Blumstein,6,86.304,0.2,9.709199999999989,0,20,4,Consumer,Office Supplies,East,2,Loyal Customers
TB-21520,Tracy Blumstein,6,6.858000000000001,0.7,-5.715,0,20,4,Consumer,Office Supplies,East,0,Lookers/Surfers
TB-21520,Tracy Blumstein,2,15.76,0.2,3.5460000000000007,0,20,4,Consumer,Office Supplies,East,0,Lookers/Surfers
MA-17560,Matt Abelman,3,29.472,0.2,9.946799999999998,0,34,4,Home Office,Office Supplies,Central,0,Lookers/Surfers
GH-14485,Gene Hale,7,1097.5440000000003,0.2,123.4736999999999,0,3,2,Corporate,Technology,Central,2,Loyal Customers
GH-14485,Gene Hale,5,190.92,0.6,-147.96300000000002,0,3,2,Corporate,Furniture,Central,0,Lookers/Surfers
SN-20710,Steve Nguyen,9,113.328,0.2,35.415,0,19,4,Home Office,Office Supplies,Central,2,Loyal Customers
SN-20710,Steve Nguyen,3,532.3992,0.32,-46.97640000000001,0,19,4,Home Office,Furniture,Central,0,Lookers/Surfers
SN-20710,Steve Nguyen,3,212.058,0.3,-15.146999999999991,0,19,4,Home Office,Furniture,Central,0,Lookers/Surfers
SN-20710,Steve Nguyen,4,371.168,0.2,41.75639999999996,0,19,4,Home Office,Technology,Central,0,Lookers/Surfers
LC-16930,Linda Cazamias,4,147.168,0.2,16.556399999999996,0,14,5,Corporate,Technology,Central,0,Lookers/Surfers
RA-19885,Ruben Ausman,2,77.88,0.0,3.8939999999999912,0,15,5,Corporate,Office Supplies,West,0,Lookers/Surfers
ES-14080,Erin Smith,2,95.616,0.2,9.56160000000001,0,20,4,Corporate,Office Supplies,South,0,Lookers/Surfers
ON-18715,Odella Nelson,2,45.98,0.0,19.7714,0,15,2,Corporate,Technology,Central,0,Lookers/Surfers
ON-18715,Odella Nelson,2,17.46,0.0,8.206199999999999,0,15,2,Corporate,Office Supplies,Central,0,Lookers/Surfers
PO-18865,Patrick O'Donnell,4,211.96,0.0,8.478399999999993,0,13,5,Consumer,Office Supplies,Central,0,Lookers/Surfers
LH-16900,Lena Hernandez,3,45.0,0.0,4.950000000000001,0,15,5,Consumer,Technology,East,0,Lookers/Surfers
LH-16900,Lena Hernandez,2,21.8,0.0,6.104000000000001,0,15,5,Consumer,Technology,East,0,Lookers/Surfers
DP-13000,Darren Powers,6,38.22,0.0,17.9634,0,17,4,Consumer,Office Supplies,Central,2,Loyal Customers
DP-13000,Darren Powers,6,75.17999999999999,0.0,35.334599999999995,0,17,4,Consumer,Office Supplies,Central,2,Loyal Customers
DP-13000,Darren Powers,2,6.16,0.0,2.9568,0,17,4,Consumer,Furniture,Central,0,Lookers/Surfers
DP-13000,Darren Powers,1,89.99,0.0,17.098099999999988,0,17,4,Consumer,Furniture,Central,0,Lookers/Surfers
JM-15265,Janet Molinari,7,15.260000000000002,0.0,6.256600000000001,0,13,6,Corporate,Office Supplies,East,2,Loyal Customers
JM-15265,Janet Molinari,5,1029.95,0.0,298.6855,0,13,6,Corporate,Technology,East,2,Loyal Customers
TB-21055,Ted Butterfield,6,208.56,0.0,52.13999999999999,1,18,1,Consumer,Office Supplies,East,1,Impulse Buyers
TB-21055,Ted Butterfield,5,32.400000000000006,0.0,15.552,1,18,1,Consumer,Office Supplies,East,1,Impulse Buyers
TB-21055,Ted Butterfield,5,319.41,0.1,7.098000000000006,1,18,1,Consumer,Furniture,East,1,Impulse Buyers
TB-21055,Ted Butterfield,2,14.56,0.0,6.9888,1,18,1,Consumer,Office Supplies,East,1,Impulse Buyers
TB-21055,Ted Butterfield,2,30.0,0.0,3.3000000000000007,1,18,1,Consumer,Technology,East,1,Impulse Buyers
TB-21055,Ted Butterfield,4,48.48,0.2,16.362,1,18,1,Consumer,Office Supplies,East,1,Impulse Buyers
TB-21055,Ted Butterfield,1,1.68,0.0,0.84,1,18,1,Consumer,Office Supplies,East,1,Impulse Buyers
KM-16720,Kunst Miller,2,13.98,0.0,6.151200000000001,0,28,6,Consumer,Technology,West,0,Lookers/Surfers
KM-16720,Kunst Miller,6,25.824,0.2,9.3612,0,28,6,Consumer,Office Supplies,West,2,Loyal Customers
KM-16720,Kunst Miller,3,146.73,0.0,68.9631,0,28,6,Consumer,Office Supplies,West,0,Lookers/Surfers
KM-16720,Kunst Miller,4,79.76,0.0,22.33280000000001,0,28,6,Consumer,Furniture,West,0,Lookers/Surfers
PS-18970,Paul Stevenson,5,213.115,0.3,-15.22250000000001,0,13,5,Home Office,Furniture,Central,0,Lookers/Surfers
BS-11590,Brendan Sweed,8,1113.024,0.2,111.30239999999998,0,10,5,Corporate,Office Supplies,West,2,Loyal Customers
BS-11590,Brendan Sweed,4,167.96800000000002,0.2,62.988,0,10,5,Corporate,Technology,West,0,Lookers/Surfers
KD-16270,Karen Daniels,2,75.88,0.0,35.663599999999995,0,16,2,Consumer,Office Supplies,South,0,Lookers/Surfers
HM-14980,Henry MacAllister,1,4.616,0.2,1.731,0,7,5,Consumer,Office Supplies,East,0,Lookers/Surfers
TB-21520,Tracy Blumstein,3,19.05,0.0,8.763,0,20,3,Consumer,Office Supplies,Central,0,Lookers/Surfers
JE-15745,Joel Eaton,8,831.9360000000001,0.2,-114.39120000000004,0,23,6,Consumer,Furniture,South,2,Loyal Customers
JE-15745,Joel Eaton,2,97.04,0.2,1.2129999999999974,0,23,6,Consumer,Furniture,South,0,Lookers/Surfers
JE-15745,Joel Eaton,1,72.784,0.2,-18.196,0,23,6,Consumer,Office Supplies,South,0,Lookers/Surfers
KB-16600,Ken Brennan,3,1.2479999999999998,0.8,-1.9344000000000008,0,9,2,Corporate,Office Supplies,Central,0,Lookers/Surfers
KB-16600,Ken Brennan,3,9.708,0.6,-5.8248000000000015,0,9,2,Corporate,Furniture,Central,0,Lookers/Surfers
KB-16600,Ken Brennan,3,27.24,0.2,2.724000000000002,0,9,2,Corporate,Office Supplies,Central,0,Lookers/Surfers
JE-15745,Joel Eaton,5,19.3,0.6,-14.475,0,23,5,Consumer,Furniture,Central,0,Lookers/Surfers
SC-20770,Stewart Carmichael,1,208.16,0.0,56.20320000000001,0,21,3,Corporate,Office Supplies,South,0,Lookers/Surfers
SC-20770,Stewart Carmichael,3,16.740000000000002,0.0,8.0352,0,21,3,Corporate,Office Supplies,South,0,Lookers/Surfers
DN-13690,Duane Noonan,5,14.9,0.0,4.172000000000001,0,11,4,Consumer,Office Supplies,West,0,Lookers/Surfers
DN-13690,Duane Noonan,1,21.39,0.0,6.203099999999999,0,11,4,Consumer,Office Supplies,West,0,Lookers/Surfers
JC-16105,Julie Creighton,7,200.98400000000004,0.2,62.807499999999976,0,9,5,Corporate,Office Supplies,South,2,Loyal Customers
CS-12400,Christopher Schild,3,230.376,0.2,-48.9549,0,14,3,Home Office,Office Supplies,Central,0,Lookers/Surfers
PO-18865,Patrick O'Donnell,2,301.96,0.0,33.215599999999995,0,13,2,Consumer,Furniture,South,0,Lookers/Surfers
