Customer ID,Customer Name,Quantity,Sales,Discount,Profit,returned_numeric,customer_frequency,purchase_speed,Segment,Category,Region
AA-10315,Alex Avila,2,673.57,0.2,252.59,0,5,118.6,Consumer,Office Supplies,West
AA-10315,Alex Avila,2,52.98,0.0,14.83,0,5,118.6,Consumer,Office Supplies,West
AA-10315,Alex Avila,3,14.94,0.0,7.02,0,5,118.6,Consumer,Office Supplies,East
AA-10315,Alex Avila,2,14.56,0.0,6.26,0,5,118.6,Consumer,Furniture,East
AA-10315,Alex Avila,2,26.96,0.0,7.01,0,5,118.6,Consumer,Office Supplies,West
AA-10315,Alex Avila,3,3930.07,0.2,-786.01,0,5,118.6,Consumer,Office Supplies,Central
AA-10315,Alex Avila,1,2.3,0.2,0.78,0,5,118.6,Consumer,Office Supplies,Central
AA-10315,Alex Avila,3,431.98,0.2,32.4,0,5,118.6,Consumer,Technology,Central
AA-10315,Alex Avila,7,41.72,0.2,5.74,0,5,118.6,Consumer,Technology,Central
AA-10315,Alex Avila,3,362.94,0.0,90.74,0,5,118.6,Consumer,Office Supplies,Central
AA-10315,Alex Avila,2,11.54,0.0,5.77,0,5,118.6,Consumer,Office Supplies,Central
AA-10375,Allen Armold,5,16.52,0.2,5.58,0,9,95.0,Consumer,Office Supplies,West
AA-10375,Allen Armold,3,34.27,0.2,11.14,0,9,95.0,Consumer,Office Supplies,West
AA-10375,Allen Armold,2,28.4,0.0,11.08,0,9,95.0,Consumer,Furniture,Central
AA-10375,Allen Armold,3,149.97,0.0,50.99,0,9,95.0,Consumer,Technology,Central
AA-10375,Allen Armold,2,5.25,0.2,0.59,0,9,95.0,Consumer,Office Supplies,West
AA-10375,Allen Armold,6,84.96,0.2,6.37,0,9,95.0,Consumer,Office Supplies,South
AA-10375,Allen Armold,2,16.77,0.2,1.47,0,9,95.0,Consumer,Office Supplies,West
AA-10375,Allen Armold,2,499.98,0.0,115.0,0,9,95.0,Consumer,Technology,South
AA-10375,Allen Armold,1,5.28,0.0,2.38,0,9,95.0,Consumer,Office Supplies,South
AA-10375,Allen Armold,2,8.26,0.0,3.88,0,9,95.0,Consumer,Office Supplies,South
AA-10375,Allen Armold,5,16.9,0.0,7.77,0,9,95.0,Consumer,Office Supplies,East
AA-10375,Allen Armold,2,39.96,0.0,18.78,0,9,95.0,Consumer,Office Supplies,East
AA-10375,Allen Armold,1,14.95,0.2,5.05,0,9,95.0,Consumer,Office Supplies,East
AA-10375,Allen Armold,3,17.94,0.0,8.07,0,9,95.0,Consumer,Office Supplies,East
AA-10375,Allen Armold,2,116.98,0.0,29.25,0,9,95.0,Consumer,Technology,East
AA-10480,Andrew Allen,2,27.46,0.0,9.89,0,4,97.91,Consumer,Furniture,East
AA-10480,Andrew Allen,3,21.93,0.0,10.09,0,4,97.91,Consumer,Office Supplies,Central
AA-10480,Andrew Allen,3,242.94,0.0,4.86,0,4,97.91,Consumer,Office Supplies,Central
AA-10480,Andrew Allen,1,7.64,0.0,3.74,0,4,97.91,Consumer,Office Supplies,Central
AA-10480,Andrew Allen,8,51.84,0.0,25.4,0,4,97.91,Consumer,Office Supplies,Central
AA-10480,Andrew Allen,1,265.17,0.0,47.73,0,4,97.91,Consumer,Office Supplies,Central
AA-10480,Andrew Allen,2,11.56,0.0,5.66,0,4,97.91,Consumer,Office Supplies,Central
AA-10480,Andrew Allen,3,209.97,0.0,58.79,0,4,97.91,Consumer,Technology,Central
AA-10480,Andrew Allen,4,447.84,0.0,98.52,0,4,97.91,Consumer,Furniture,Central
AA-10480,Andrew Allen,3,479.97,0.0,163.19,0,4,97.91,Consumer,Technology,Central
AA-10480,Andrew Allen,3,8.64,0.0,2.51,0,4,97.91,Consumer,Office Supplies,Central
AA-10480,Andrew Allen,3,15.55,0.2,5.44,0,4,97.91,Consumer,Office Supplies,South
AA-10645,Anna Andreadi,3,170.06,0.3,-4.86,0,6,72.47,Consumer,Furniture,East
AA-10645,Anna Andreadi,3,82.78,0.4,-15.18,0,6,72.47,Consumer,Technology,East
AA-10645,Anna Andreadi,5,853.93,0.3,0.0,0,6,72.47,Consumer,Furniture,East
AA-10645,Anna Andreadi,2,271.9,0.0,78.85,0,6,72.47,Consumer,Technology,East
AA-10645,Anna Andreadi,3,45.84,0.0,15.59,0,6,72.47,Consumer,Furniture,East
AA-10645,Anna Andreadi,2,9.82,0.0,3.24,0,6,72.47,Consumer,Furniture,East
AA-10645,Anna Andreadi,4,541.24,0.0,5.41,0,6,72.47,Consumer,Office Supplies,Central
AA-10645,Anna Andreadi,3,106.32,0.0,49.97,0,6,72.47,Consumer,Office Supplies,Central
AA-10645,Anna Andreadi,5,1323.9,0.0,383.93,0,6,72.47,Consumer,Furniture,Central
AA-10645,Anna Andreadi,5,25.4,0.0,8.64,0,6,72.47,Consumer,Furniture,West
AA-10645,Anna Andreadi,2,43.96,0.0,20.66,0,6,72.47,Consumer,Office Supplies,West
AA-10645,Anna Andreadi,5,1279.16,0.15,225.74,0,6,72.47,Consumer,Furniture,West
AA-10645,Anna Andreadi,4,27.92,0.0,0.56,0,6,72.47,Consumer,Office Supplies,West
AA-10645,Anna Andreadi,3,42.6,0.0,16.61,0,6,72.47,Consumer,Furniture,South
AA-10645,Anna Andreadi,6,113.94,0.0,54.69,0,6,72.47,Consumer,Office Supplies,South
AA-10645,Anna Andreadi,4,129.92,0.0,5.2,0,6,72.47,Consumer,Office Supplies,South
AA-10645,Anna Andreadi,3,5.28,0.0,2.53,0,6,72.47,Consumer,Office Supplies,South
AA-10645,Anna Andreadi,2,12.96,0.0,6.22,0,6,72.47,Consumer,Office Supplies,West
AB-10015,Aaron Bergman,2,12.62,0.2,-2.52,0,3,199.2,Consumer,Office Supplies,Central
AB-10015,Aaron Bergman,1,48.71,0.2,5.48,0,3,199.2,Consumer,Furniture,West
AB-10015,Aaron Bergman,3,17.94,0.0,4.66,0,3,199.2,Consumer,Office Supplies,West
AB-10015,Aaron Bergman,3,242.94,0.0,4.86,0,3,199.2,Consumer,Office Supplies,West
AB-10015,Aaron Bergman,2,221.98,0.0,62.15,0,3,199.2,Consumer,Technology,Central
AB-10015,Aaron Bergman,2,341.96,0.0,54.71,0,3,199.2,Consumer,Furniture,Central
AB-10060,Adam Bellavance,2,18.54,0.0,8.71,0,8,45.88,Home Office,Office Supplies,West
AB-10060,Adam Bellavance,2,127.88,0.0,40.92,0,8,45.88,Home Office,Furniture,South
AB-10060,Adam Bellavance,2,160.32,0.0,44.89,0,8,45.88,Home Office,Office Supplies,South
AB-10060,Adam Bellavance,4,46.0,0.0,20.7,0,8,45.88,Home Office,Office Supplies,South
AB-10060,Adam Bellavance,3,27.93,0.0,8.1,0,8,45.88,Home Office,Office Supplies,East
AB-10060,Adam Bellavance,1,6.79,0.0,2.31,0,8,45.88,Home Office,Technology,East
AB-10060,Adam Bellavance,2,24.56,0.0,11.54,0,8,45.88,Home Office,Office Supplies,East
AB-10060,Adam Bellavance,1,3.05,0.2,1.07,0,8,45.88,Home Office,Office Supplies,East
AB-10060,Adam Bellavance,4,49.12,0.0,23.09,0,8,45.88,Home Office,Office Supplies,East
AB-10060,Adam Bellavance,4,4355.17,0.2,1415.43,0,8,45.88,Home Office,Office Supplies,East
AB-10060,Adam Bellavance,1,79.99,0.0,28.8,0,8,45.88,Home Office,Technology,West
AB-10060,Adam Bellavance,4,20.74,0.2,7.26,0,8,45.88,Home Office,Office Supplies,East
AB-10060,Adam Bellavance,1,4.41,0.0,2.03,0,8,45.88,Home Office,Office Supplies,Central
AB-10060,Adam Bellavance,3,167.94,0.0,82.29,0,8,45.88,Home Office,Office Supplies,Central
AB-10060,Adam Bellavance,10,67.8,0.0,31.19,0,8,45.88,Home Office,Office Supplies,Central
AB-10060,Adam Bellavance,7,2036.86,0.0,366.63,0,8,45.88,Home Office,Furniture,West
AB-10060,Adam Bellavance,2,449.57,0.2,-73.05,0,8,45.88,Home Office,Furniture,West
AB-10060,Adam Bellavance,3,108.96,0.0,32.69,0,8,45.88,Home Office,Technology,West
AB-10105,Adrian Barton,1,3.69,0.0,1.73,0,10,56.05,Consumer,Office Supplies,Central
